Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Ramon Hernandez,25,136,509,453,55,115,25,0,15,60,1,1,37,68,.254,.316,.408,.724,91,185,10,6,9,4,3
2,1B,Jason Giambi*,30,154,671,520,109,178,47,2,38,120,2,0,129,83,.342,.477,.660,1.137,199,343,17,13,0,9,24
3,2B,Frank Menechino,30,139,578,471,82,114,22,2,12,60,2,3,79,97,.242,.369,.374,.742,99,176,13,19,3,6,0
4,SS,Miguel Tejada,27,162,683,622,107,166,31,3,31,113,11,5,43,89,.267,.326,.476,.801,110,296,14,13,1,4,5
5,3B,Eric Chavez*,23,151,604,552,91,159,43,0,32,114,8,2,41,99,.288,.338,.540,.878,129,298,7,4,0,7,9
6,LF,Terrence Long*,25,162,687,629,90,178,37,4,12,85,9,3,52,103,.283,.335,.412,.747,98,259,17,0,0,6,8
7,CF,Johnny Damon*,27,155,719,644,108,165,34,4,9,49,27,12,61,70,.256,.324,.363,.687,83,234,7,5,5,4,1
8,RF,Jermaine Dye,27,61,265,232,41,69,17,1,13,59,2,0,27,44,.297,.366,.547,.913,139,127,6,1,0,5,3
9,DH,Jeremy Giambi*,26,124,443,371,64,105,26,0,12,57,0,1,63,83,.283,.391,.450,.841,124,167,13,4,3,2,1
Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
10,UT,Olmedo Saenz,30,106,341,305,33,67,21,1,9,32,0,1,19,64,.220,.291,.384,.675,78,117,9,13,1,3,1
11,RF,Adam Piatt,25,36,111,95,9,20,5,1,0,6,0,0,13,26,.211,.300,.284,.584,57,27,5,0,1,2,0
12,C,Greg Myers*,35,33,100,87,13,16,1,0,7,13,0,0,13,21,.184,.290,.437,.727,90,38,2,0,0,0,1
13,DH,Ron Gant,36,34,93,81,15,21,5,1,2,13,2,0,11,24,.259,.344,.420,.764,103,34,0,0,0,1,0
14,UT,F.P. Santangelo#,33,32,89,71,16,14,4,0,0,8,1,1,11,17,.197,.341,.254,.594,62,18,1,5,1,1,0
15,UT,Mark Bellhorn#,26,38,82,74,11,10,1,2,1,4,0,0,7,37,.135,.210,.243,.453,21,18,1,0,1,0,0
16,UT,Mario Valdez*,26,32,67,54,7,15,1,0,1,8,0,0,12,18,.278,.418,.352,.770,109,19,0,1,0,0,1
17,LF,Billy McMillon*,29,20,65,58,6,17,7,1,0,10,1,0,5,13,.293,.354,.448,.802,112,26,0,1,0,1,0
18,UT,Robin Jennings*,29,20,55,52,4,13,3,0,0,4,0,0,2,6,.250,.273,.308,.580,55,16,0,0,0,1,0
19,DH,John Jaha,35,12,52,45,2,4,3,0,0,8,0,0,6,15,.089,.192,.156,.348,-5,7,3,0,0,1,0
20,UT,Jose Ortiz,24,11,46,42,4,7,0,0,0,3,1,0,3,5,.167,.217,.167,.384,5,7,4,0,0,1,0
21,UT,Eric Byrnes,25,19,43,38,9,9,1,0,3,5,1,0,4,6,.237,.326,.500,.826,116,19,0,1,0,0,0
22,C,Tom Wilson,30,9,24,21,4,4,0,0,2,4,0,0,1,5,.190,.250,.476,.726,87,10,1,1,0,1,0
23,UT,Sal Fasano,29,11,23,21,2,1,0,0,0,0,0,0,1,12,.048,.130,.048,.178,-49,1,1,1,0,0,0
24,UT,Rob Ryan*,28,7,7,7,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,0,0,0
25,UT,Ryan Christenson,27,7,4,4,1,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
26,1B,Andy Abad*,28,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
